coldkey_name,hotkey_name,uid,axon,disappeared_at
wt9,k1,51,3.82.183.209:21009,2026-03-26T10:42:16.829830
wt1,k1,75,34.203.47.73:21001,2026-03-28T16:21:12.593379
double_8,l7,223,98.85.110.209:20425,2026-03-28T16:21:12.593417
wt12,k1,81,52.206.233.219:21012,2026-03-28T16:21:12.593440
double_5,l18,65,54.204.199.252:20518,2026-03-29T05:17:40.459968
wt_22,l1,103,44.255.67.117:20022,2026-03-29T05:17:40.460007
wt_39,l1,243,54.237.81.2:20039,2026-03-29T05:17:40.460033
double_5,l15,106,34.230.119.6:20515,2026-03-29T09:25:05.732096
wt3,k1,137,54.164.164.107:21003,2026-03-29T12:07:31.943568
wt11,k1,98,3.87.206.153:21011,2026-03-29T12:07:31.943618
wt_41,l1,111,44.254.61.203:20041,2026-03-29T12:07:31.943733
wt4,k1,139,104.193.24.90:20493,2026-03-30T02:27:03.602643
wt12,k1,41,52.206.233.219:21012,2026-03-31T03:54:44.733937
wt_28,l1,211,34.215.144.66:20028,2026-03-31T03:54:44.733968
wt_29,l1,159,54.185.39.99:20029,2026-03-31T03:54:44.733981
